Sample	Unique Reads	Duplicate Reads
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG435 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG435_2	20830103	2448370
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG435 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG435_1	20540385	2738088
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG434 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG434_2	27691877	2897383
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG434 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG434_1	27470120	3119140
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG433 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG433_2	21962532	2564528
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG433 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG433_1	21594741	2932319
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG432 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG432_2	21143734	1675884
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG432 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG432_1	20932505	1887113
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG431 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG431_2	25355698	2561274
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG431 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG431_1	25051131	2865841
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG430 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG430_2	19211573	2808941
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG430 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG430_1	18996607	3023907
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG429 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG429_2	16964244	25814568
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG429 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG429_1	15009630	27769182
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG428 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG428_2	34495440	3811408
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG428 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG428_1	34102725	4204123
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG427 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG427_2	28340167	8783750
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG427 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG427_1	27549979	9573938
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG426 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG426_2	22858690	10861363
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG426 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG426_1	22074749	11645304
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG425 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG425_2	23987965	10876175
