"Drug","FC","abb_strain_name"
"Mycophenolate Mofetil",0.794307820663478,"P. merdae"
"Mycophenolate Mofetil",0.794307820663478,"P. merdae"
"Mycophenolate Mofetil",0.794307820663478,"P. merdae"
"Mycophenolate Mofetil",0.794307820663478,"P. merdae"
"Mycophenolate Mofetil",0.794307820663478,"P. merdae"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.00479033530370916,"P. copri"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.665192880347563,"R. intestinalis"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.791977054718035,"R. gnavus"
"Mycophenolate Mofetil",0.179740125081668,"S. salivarius"
"Mycophenolate Mofetil",0.179740125081668,"S. salivarius"
"Mycophenolate Mofetil",0.179740125081668,"S. salivarius"
"Mycophenolate Mofetil",0.179740125081668,"S. salivarius"
