.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG33 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG33_2	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG34 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG34_1	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG34 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG34_2	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG35 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG35_1	1	1	0.25	1	0.5	1	1	1	0.25	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG35 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG35_2	1	1	1	1	0.5	1	1	1	0.25	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG37 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG37_1	1	1	0.25	1	0.25	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG37 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG37_2	1	1	1	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG38 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG38_1	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG38 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG38_2	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG4 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG4_1	1	1	0.25	1	0.5	1	1	1	1	1	1
