.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG356 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG356_1	1	1	1	1	0.5	0.5	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG356 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG356_2	1	1	1	1	0.5	0.5	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG357 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG357_1	1	1	1	1	1	1	1	1	0.5	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG357 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG357_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG358 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG358_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG358 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG358_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG359 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG359_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG359 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG359_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG360 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG360_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG360 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG360_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG361 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG361_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG361 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG361_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG362 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG362_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG362 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG362_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG363 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG363_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG363 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG363_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG364 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG364_1	1	1	1	1	0.5	0.5	1	1	0.25	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG364 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG364_2	1	1	1	1	0.5	0.5	1	1	0.25	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG365 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG365_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG365 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG365_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG366 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG366_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG366 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG366_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG367 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG367_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG367 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG367_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG368 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG368_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG369 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG369_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG369 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG369_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG370 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG370_1	1	1	1	1	1	0.5	1	1	0.5	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG370 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG370_2	1	1	1	1	1	0.25	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG371 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG371_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG371 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG371_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG372 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG372_1	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG372 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG372_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG373 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG373_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG373 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG373_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG374 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG374_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG374 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG374_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG375 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG375_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG375 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG375_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG376 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG376_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG376 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG376_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG377 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG377_1	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG377 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG377_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG378 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG378_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG378 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG378_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG379 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG379_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG379 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG379_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG380 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG380_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG380 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG380_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG381 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG381_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG381 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG381_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG382 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG382_1	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG382 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG382_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG383 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG383_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG383 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG383_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG384 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG384_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG384 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG384_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG385 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG385_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG385 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG385_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG386 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG386_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG386 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG386_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG387 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG387_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG387 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG387_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG388 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG388_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG388 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG388_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG389 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG389_1	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG389 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG389_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG390 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG390_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG390 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG390_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG391 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG391_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG391 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG391_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG392 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG392_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG392 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG392_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG393 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG393_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG393 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG393_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG394 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG394_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG394 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG394_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG395 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG395_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG395 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG395_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG396 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG396_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG396 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG396_2	1	1	1	1	1	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG397 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG397_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG397 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG397_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG398 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG398_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG398 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG398_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG399 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG399_1	1	1	1	1	1	0.5	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG399 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG399_2	1	1	1	1	1	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG400 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG400_1	1	1	1	1	1	1	1	1	1	0.5	1
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG400 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG400_2	1	1	1	1	1	1	1	1	1	1	1
